1,2,3,4,5,6,7,8,class
202.142857, 199.731750, 198.476190, 196.113774, 219.368421, 218.404197, 214.508929, 213.551913, true
157.261905, 155.704443, 145.380952, 143.886837, 178.008772, 177.321390, 158.705357, 158.034558, false
184.666667, 182.515035, 197.904762, 195.572318, 220.157895, 219.190509, 215.508929, 214.546552, true
144.857143, 143.138235, 152.619048, 150.830749, 162.114035, 161.401476, 165.955357, 165.227173, false
217.166667, 214.587598, 212.833333, 210.297361, 226.552632, 225.560909, 226.392857, 225.380137, true
146.619048, 144.887892, 146.333333, 144.603645, 117.859649, 117.341753, 149.026786, 148.360756, false
212.619048, 210.106303, 209.952381, 207.447660, 220.833333, 220.225001, 226.580357, 225.567427, true
200.785714, 198.381097, 202.023810, 199.604338, 192.271930, 191.427193, 205.187500, 204.274472, false
220.000000, 217.382919, 216.261905, 213.685648, 228.114035, 227.111417, 228.026786, 227.007241, true
193.571429, 191.274592, 190.309524, 188.039879, 129.350877, 129.061853, 161.964286, 161.308714, false
214.976190, 212.414183, 213.857143, 211.301683, 224.657895, 223.999791, 228.607143, 227.584399, true
141.380952, 139.687930, 198.119048, 195.748382, 198.850877, 197.976804, 193.401786, 192.536717, false
169.619048, 167.644817, 173.880952, 171.837985, 186.245614, 185.450039, 194.616071, 193.750755, true
146.000000, 144.251516, 174.357143, 172.268967, 151.745614, 151.194709, 157.678571, 156.994299, false
174.000000, 171.933819, 178.047619, 175.993667, 183.771930, 182.994810, 194.794643, 193.923961, true
123.142857, 121.668111, 103.071429, 101.871059, 130.061404, 129.494630, 136.062500, 135.469758, false
183.166667, 180.973064, 188.642857, 186.534649, 186.754386, 185.960358, 196.660714, 195.785485, true
106.095238, 104.865171, 105.119048, 103.964021, 156.052632, 155.382871, 159.169643, 158.469695, false
176.000000, 173.905557, 177.357143, 175.327813, 191.114035, 190.296283, 196.125000, 195.254784, true
195.214286, 192.876309, 175.190476, 173.094164, 186.903509, 186.088058, 180.160714, 179.358111, false
184.119048, 181.915060, 184.023810, 181.909581, 186.570175, 185.790882, 197.973214, 197.088542, true
166.642857, 164.648621, 158.119048, 156.225433, 128.719298, 128.153970, 143.660714, 143.057624, false
193.023810, 190.742209, 195.380952, 193.067193, 205.543860, 204.640791, 197.848214, 196.964142, true
85.452381, 84.606951, 89.833333, 88.763709, 97.596491, 97.168447, 103.883929, 103.420251, false
194.904762, 192.593029, 195.738095, 193.412183, 206.728070, 205.819599, 199.875000, 198.983000, true
36.761905, 36.660683, 41.952381, 41.689993, 32.614035, 32.526763, 50.616071, 50.389634, false
197.047619, 194.725751, 197.047619, 194.719893, 209.184211, 208.264745, 205.410714, 204.494094, true
180.595238, 178.553353, 130.619048, 129.067144, 129.377193, 128.945195, 152.821429, 152.145005, false
201.571429, 199.187380, 202.500000, 200.092984, 209.166667, 208.247277, 205.267857, 204.349732, true
107.166667, 105.883715, 109.452381, 108.258082, 82.973684, 82.616575, 103.875000, 103.432820, false
199.214286, 196.871790, 199.261905, 196.899005, 208.622807, 207.706705, 205.803571, 204.882968, true
54.119048, 53.756764, 144.190476, 142.472259, 127.333333, 126.787004, 140.214286, 139.667544, false
168.571429, 166.632391, 179.023810, 177.083389, 210.552632, 209.639734, 208.910714, 207.979664, true
20.142857, 26.959153, 46.833333, 46.398678, 144.175439, 143.567082, 115.785714, 115.417465, false
168.261905, 166.328209, 181.357143, 179.246339, 211.973684, 211.043995, 209.151786, 208.216984, true
43.880952, 43.616481, 17.309524, 21.430119, 121.807018, 121.290410, 72.883929, 72.561877, false
210.261905, 207.759761, 210.714286, 208.211937, 227.280702, 226.281662, 224.571429, 223.567732, true
105.833333, 104.636009, 125.357143, 124.591926, 130.192982, 129.674310, 118.410714, 117.886912, false
210.761905, 208.261133, 211.500000, 208.971091, 227.868421, 226.866822, 224.642857, 223.637964, true
71.880952, 71.087890, 139.880952, 138.206386, 129.140351, 128.605774, 135.303571, 134.881042, false
210.666667, 208.152321, 208.904762, 206.442091, 227.307018, 226.307870, 224.803571, 223.799074, true
18.071429, 17.865284, 16.976190, 24.872293, 116.938596, 116.436867, 73.142857, 72.944407, false
207.071429, 204.630557, 217.380952, 214.781611, 225.964912, 224.974932, 224.455357, 223.451933, true
137.261905, 135.695598, 62.238095, 61.798022, 41.570175, 41.388799, 88.285714, 88.285714, false
212.571429, 210.049225, 211.642857, 209.131712, 227.605263, 226.604833, 226.223214, 225.211231, true
139.404762, 137.767725, 59.547619, 59.547619, 116.807018, 116.419538, 129.821429, 129.331013, false
211.071429, 208.570984, 215.047619, 212.501621, 222.771930, 221.921685, 226.580357, 225.569151, true
129.166667, 127.622195, 112.285714, 111.045909, 150.701754, 150.054390, 147.562500, 146.915110, false
203.071429, 200.654401, 204.095238, 201.671994, 217.649123, 216.693933, 215.169643, 214.208535, true
57.904762, 57.303791, 83.690476, 82.780332, 31.517544, 31.426715, 80.241071, 79.947546, false
201.214286, 198.830317, 199.666667, 197.289550, 216.052632, 215.122606, 215.955357, 214.989868, true
65.523810, 65.262812, 39.071429, 38.693260, 56.192982, 56.124869, 105.151786, 104.975758, false
201.476190, 199.083734, 202.809524, 200.404797, 216.868421, 215.915348, 214.553571, 213.593639, true
171.285714, 169.307624, 134.857143, 133.242758, 157.842105, 157.188253, 152.062500, 151.390713, false
201.928571, 199.536670, 202.214286, 199.803794, 219.157895, 218.197061, 215.526786, 214.564737, true
136.119048, 134.536125, 150.952381, 149.194572, 192.780702, 191.942652, 171.821429, 171.053349, false
201.357143, 198.988065, 200.000000, 197.610728, 218.719298, 217.761681, 216.142857, 215.177051, true
164.857143, 162.884668, 199.904762, 197.534945, 182.868421, 182.107357, 186.660714, 185.832762, false
191.928571, 189.666315, 197.428571, 195.065967, 185.491228, 184.681577, 198.142857, 197.259489, true
176.190476, 174.211538, 191.857143, 189.612700, 176.859649, 176.122370, 191.633929, 190.779669, false
196.119048, 193.792132, 199.880952, 197.487083, 185.026316, 184.214927, 198.803571, 197.929084, true
143.261905, 142.229703, 114.404762, 113.043911, 140.850877, 140.248080, 129.133929, 128.557340, false
199.119048, 196.755873, 199.333333, 196.946693, 186.429825, 185.611369, 199.187500, 198.302175, true
115.357143, 114.420865, 120.309524, 119.125701, 129.271930, 128.722884, 123.875000, 123.338466, false
198.666667, 196.326259, 200.619048, 198.241870, 187.517544, 186.693436, 200.071429, 199.177659, true
